"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-30_to_2022-12-01_Index_3QRank","-75.674","-59.513"
"2021-09-30_to_2022-12-01_Crypto10_Index","-85.498","-78.139"
"Volatility",,
"2021-09-30_to_2022-12-01_Index_3QRank","81.65","80.04"
"2021-09-30_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-30_to_2022-12-01_Index_3QRank","45.04","40.92"
"2021-09-30_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-30_to_2022-12-01_Index_3QRank","0.22","0.46"
"2021-09-30_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-30_to_2022-12-01_Index_3QRank","1.13","3.21"
"2021-09-30_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-30_to_2022-12-01_Index_3QRank","0.82","0.86"
"2021-09-30_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-30_to_2022-12-01_Index_3QRank","69.9","74.03"
"2021-09-30_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-30_to_2022-12-01_Index_3QRank","-81.4211","-82.539"
"2021-09-30_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
