"","2022-03-2022-12"
"Annualized Returns",
"2022-03-19_to_2022-12-01_Index_3QRank","-79.009"
"2022-03-19_to_2022-12-01_Crypto10_Index","-87.623"
"Volatility",
"2022-03-19_to_2022-12-01_Index_3QRank","75.03"
"2022-03-19_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-19_to_2022-12-01_Index_3QRank","38.53"
"2022-03-19_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-19_to_2022-12-01_Index_3QRank","0.22"
"2022-03-19_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-19_to_2022-12-01_Index_3QRank","-2.65"
"2022-03-19_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-19_to_2022-12-01_Index_3QRank","0.72"
"2022-03-19_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-19_to_2022-12-01_Index_3QRank","85.23"
"2022-03-19_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-19_to_2022-12-01_Index_3QRank","-75.6723"
"2022-03-19_to_2022-12-01_Crypto10_Index","-79.9416"
