"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-24_to_2022-12-01_Index_3QRank","-73.787","-69.049"
"2021-10-24_to_2022-12-01_Crypto10_Index","-85.498","-83.966"
"Volatility",,
"2021-10-24_to_2022-12-01_Index_3QRank","71.95","66.1"
"2021-10-24_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-24_to_2022-12-01_Index_3QRank","46.51","43.41"
"2021-10-24_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-24_to_2022-12-01_Index_3QRank","0.25","0.34"
"2021-10-24_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-24_to_2022-12-01_Index_3QRank","-0.1","0.2"
"2021-10-24_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-24_to_2022-12-01_Index_3QRank","0.71","0.7"
"2021-10-24_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-24_to_2022-12-01_Index_3QRank","66.47","66.87"
"2021-10-24_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-24_to_2022-12-01_Index_3QRank","-79.5601","-82.0039"
"2021-10-24_to_2022-12-01_Crypto10_Index","-85.948","-87.1589"
