"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-27_to_2022-12-01_Index_3QRank","-78.612","-33.603"
"2021-07-27_to_2022-12-01_Crypto10_Index","-85.498","-73.743"
"Volatility",,
"2021-07-27_to_2022-12-01_Index_3QRank","85.08","98.19"
"2021-07-27_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-27_to_2022-12-01_Index_3QRank","42.3","52.43"
"2021-07-27_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-27_to_2022-12-01_Index_3QRank","0.16","0.77"
"2021-07-27_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-27_to_2022-12-01_Index_3QRank","1.21","7.63"
"2021-07-27_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-27_to_2022-12-01_Index_3QRank","0.88","1.04"
"2021-07-27_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-27_to_2022-12-01_Index_3QRank","74.12","69.55"
"2021-07-27_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-27_to_2022-12-01_Index_3QRank","-82.7383","-83.8381"
"2021-07-27_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
