"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-08_to_2022-12-01_Index_3QRank","-76.153","-76.805"
"2021-11-08_to_2022-12-01_Crypto10_Index","-85.498","-84.519"
"Volatility",,
"2021-11-08_to_2022-12-01_Index_3QRank","77.06","73.51"
"2021-11-08_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-08_to_2022-12-01_Index_3QRank","39.84","39.29"
"2021-11-08_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-08_to_2022-12-01_Index_3QRank","0.23","0.2"
"2021-11-08_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-08_to_2022-12-01_Index_3QRank","0.39","0.85"
"2021-11-08_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-08_to_2022-12-01_Index_3QRank","0.8","0.79"
"2021-11-08_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-08_to_2022-12-01_Index_3QRank","75.47","74.59"
"2021-11-08_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-08_to_2022-12-01_Index_3QRank","-79.6921","-82.2211"
"2021-11-08_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
