"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-04_to_2022-12-01_Index_3QRank","-79.393","-42.892"
"2021-08-04_to_2022-12-01_Crypto10_Index","-85.498","-72.805"
"Volatility",,
"2021-08-04_to_2022-12-01_Index_3QRank","81.43","77.09"
"2021-08-04_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-04_to_2022-12-01_Index_3QRank","42.24","39.33"
"2021-08-04_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-04_to_2022-12-01_Index_3QRank","0.14","0.76"
"2021-08-04_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-04_to_2022-12-01_Index_3QRank","0.16","2.86"
"2021-08-04_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-04_to_2022-12-01_Index_3QRank","0.84","0.85"
"2021-08-04_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-04_to_2022-12-01_Index_3QRank","73.25","74.36"
"2021-08-04_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-04_to_2022-12-01_Index_3QRank","-82.5392","-83.612"
"2021-08-04_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
