"","2022-12-2021-12","2021-06-2022-12"
"Annualized Returns",,
"2021-06-24_to_2022-12-01_Index_3QRank","-82.278","-41.86"
"2021-06-24_to_2022-12-01_Crypto10_Index","-85.498","-67.933"
"Volatility",,
"2021-06-24_to_2022-12-01_Index_3QRank","81.5","93.03"
"2021-06-24_to_2022-12-01_Crypto10_Index","84.65","78.14"
"Tracking Error",,
"2021-06-24_to_2022-12-01_Index_3QRank","39.74","49.56"
"2021-06-24_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-06-24_to_2022-12-01_Index_3QRank","0.08","0.53"
"2021-06-24_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-06-24_to_2022-12-01_Index_3QRank","-0.74","5.66"
"2021-06-24_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-06-24_to_2022-12-01_Index_3QRank","0.85","1.01"
"2021-06-24_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-06-24_to_2022-12-01_Index_3QRank","76.16","69.73"
"2021-06-24_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-06-24_to_2022-12-01_Index_3QRank","-84.4707","-85.4515"
"2021-06-24_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
