"","2021-12-2022-12"
"Annualized Returns",
"2021-12-25_to_2022-12-01_Index_3QRank","-73.585"
"2021-12-25_to_2022-12-01_Crypto10_Index","-84.956"
"Volatility",
"2021-12-25_to_2022-12-01_Index_3QRank","70.73"
"2021-12-25_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-25_to_2022-12-01_Index_3QRank","49.91"
"2021-12-25_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-25_to_2022-12-01_Index_3QRank","0.23"
"2021-12-25_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-25_to_2022-12-01_Index_3QRank","-0.34"
"2021-12-25_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-25_to_2022-12-01_Index_3QRank","0.68"
"2021-12-25_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-25_to_2022-12-01_Index_3QRank","61.45"
"2021-12-25_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-25_to_2022-12-01_Index_3QRank","-77.9551"
"2021-12-25_to_2022-12-01_Crypto10_Index","-84.0788"
