"","2022-01-2022-12"
"Annualized Returns",
"2022-01-29_to_2022-12-01_Index_3QRank","-65.885"
"2022-01-29_to_2022-12-01_Crypto10_Index","-82.981"
"Volatility",
"2022-01-29_to_2022-12-01_Index_3QRank","75.23"
"2022-01-29_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-29_to_2022-12-01_Index_3QRank","44.86"
"2022-01-29_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-29_to_2022-12-01_Index_3QRank","0.38"
"2022-01-29_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-29_to_2022-12-01_Index_3QRank","1.66"
"2022-01-29_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-29_to_2022-12-01_Index_3QRank","0.73"
"2022-01-29_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-29_to_2022-12-01_Index_3QRank","71.39"
"2022-01-29_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-29_to_2022-12-01_Index_3QRank","-72.9456"
"2022-01-29_to_2022-12-01_Crypto10_Index","-81.2244"
