"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-25_to_2022-12-01_Index_3QRank","-78.385","-30.593"
"2021-07-25_to_2022-12-01_Crypto10_Index","-85.498","-72.001"
"Volatility",,
"2021-07-25_to_2022-12-01_Index_3QRank","84.53","96.29"
"2021-07-25_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-25_to_2022-12-01_Index_3QRank","42.16","50.56"
"2021-07-25_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-25_to_2022-12-01_Index_3QRank","0.17","0.82"
"2021-07-25_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-25_to_2022-12-01_Index_3QRank","1.16","7.3"
"2021-07-25_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-25_to_2022-12-01_Index_3QRank","0.87","1.03"
"2021-07-25_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-25_to_2022-12-01_Index_3QRank","74.11","70.51"
"2021-07-25_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-25_to_2022-12-01_Index_3QRank","-82.5755","-83.7155"
"2021-07-25_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
