"","2022-01-2022-12"
"Annualized Returns",
"2022-01-07_to_2022-12-01_Index_3QRank","-71.053"
"2022-01-07_to_2022-12-01_Crypto10_Index","-83.553"
"Volatility",
"2022-01-07_to_2022-12-01_Index_3QRank","75.13"
"2022-01-07_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-07_to_2022-12-01_Index_3QRank","45.59"
"2022-01-07_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-07_to_2022-12-01_Index_3QRank","0.27"
"2022-01-07_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-07_to_2022-12-01_Index_3QRank","1.78"
"2022-01-07_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-07_to_2022-12-01_Index_3QRank","0.73"
"2022-01-07_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-07_to_2022-12-01_Index_3QRank","70.45"
"2022-01-07_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-07_to_2022-12-01_Index_3QRank","-75.2598"
"2022-01-07_to_2022-12-01_Crypto10_Index","-82.5191"
