"","2022-02-2022-12"
"Annualized Returns",
"2022-02-05_to_2022-12-01_Index_3QRank","-69.708"
"2022-02-05_to_2022-12-01_Crypto10_Index","-84.597"
"Volatility",
"2022-02-05_to_2022-12-01_Index_3QRank","78.6"
"2022-02-05_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-05_to_2022-12-01_Index_3QRank","47.62"
"2022-02-05_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-05_to_2022-12-01_Index_3QRank","0.31"
"2022-02-05_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-05_to_2022-12-01_Index_3QRank","1.22"
"2022-02-05_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-05_to_2022-12-01_Index_3QRank","0.72"
"2022-02-05_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-05_to_2022-12-01_Index_3QRank","70.2"
"2022-02-05_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-05_to_2022-12-01_Index_3QRank","-72.6395"
"2022-02-05_to_2022-12-01_Crypto10_Index","-81.2244"
