"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-05_to_2022-12-01_Index_3QRank","-78.285","-34.805"
"2021-07-05_to_2022-12-01_Crypto10_Index","-85.498","-69.48"
"Volatility",,
"2021-07-05_to_2022-12-01_Index_3QRank","84.37","95.35"
"2021-07-05_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-05_to_2022-12-01_Index_3QRank","41.97","49.6"
"2021-07-05_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-05_to_2022-12-01_Index_3QRank","0.17","0.7"
"2021-07-05_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-05_to_2022-12-01_Index_3QRank","1.18","7.16"
"2021-07-05_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-05_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-05_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-05_to_2022-12-01_Index_3QRank","74.29","71.04"
"2021-07-05_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-05_to_2022-12-01_Index_3QRank","-82.4769","-83.6054"
"2021-07-05_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
