"","2022-02-2022-12"
"Annualized Returns",
"2022-02-08_to_2022-12-01_Index_3QRank","-75.295"
"2022-02-08_to_2022-12-01_Crypto10_Index","-86.141"
"Volatility",
"2022-02-08_to_2022-12-01_Index_3QRank","81.72"
"2022-02-08_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-08_to_2022-12-01_Index_3QRank","41.16"
"2022-02-08_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-08_to_2022-12-01_Index_3QRank","0.26"
"2022-02-08_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-08_to_2022-12-01_Index_3QRank","1.24"
"2022-02-08_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-08_to_2022-12-01_Index_3QRank","0.79"
"2022-02-08_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-08_to_2022-12-01_Index_3QRank","77.77"
"2022-02-08_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-08_to_2022-12-01_Index_3QRank","-73.6163"
"2022-02-08_to_2022-12-01_Crypto10_Index","-81.2244"
