"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-29_to_2022-12-01_Index_3QRank","-74.15","-71.14"
"2021-10-29_to_2022-12-01_Crypto10_Index","-85.498","-83.627"
"Volatility",,
"2021-10-29_to_2022-12-01_Index_3QRank","70.44","64.85"
"2021-10-29_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-29_to_2022-12-01_Index_3QRank","47.75","44.23"
"2021-10-29_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-29_to_2022-12-01_Index_3QRank","0.24","0.28"
"2021-10-29_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-29_to_2022-12-01_Index_3QRank","-0.4","-0.17"
"2021-10-29_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-29_to_2022-12-01_Index_3QRank","0.69","0.68"
"2021-10-29_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-29_to_2022-12-01_Index_3QRank","64.65","65.61"
"2021-10-29_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-29_to_2022-12-01_Index_3QRank","-79.4185","-82.0541"
"2021-10-29_to_2022-12-01_Crypto10_Index","-85.948","-86.6628"
