"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-24_to_2022-12-01_Index_3QRank","-78.352","-30.703"
"2021-07-24_to_2022-12-01_Crypto10_Index","-85.498","-71.929"
"Volatility",,
"2021-07-24_to_2022-12-01_Index_3QRank","84.46","96"
"2021-07-24_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-24_to_2022-12-01_Index_3QRank","42.13","50.32"
"2021-07-24_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-24_to_2022-12-01_Index_3QRank","0.17","0.82"
"2021-07-24_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-24_to_2022-12-01_Index_3QRank","1.16","7.25"
"2021-07-24_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-24_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-24_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-24_to_2022-12-01_Index_3QRank","74.12","70.61"
"2021-07-24_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-24_to_2022-12-01_Index_3QRank","-82.5502","-83.6884"
"2021-07-24_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
