"","2022-03-2022-12"
"Annualized Returns",
"2022-03-25_to_2022-12-01_Index_3QRank","-82.201"
"2022-03-25_to_2022-12-01_Crypto10_Index","-89.38"
"Volatility",
"2022-03-25_to_2022-12-01_Index_3QRank","76.38"
"2022-03-25_to_2022-12-01_Crypto10_Index","97.89"
"Tracking Error",
"2022-03-25_to_2022-12-01_Index_3QRank","37.64"
"2022-03-25_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-03-25_to_2022-12-01_Index_3QRank","0.19"
"2022-03-25_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-03-25_to_2022-12-01_Index_3QRank","-2.45"
"2022-03-25_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-03-25_to_2022-12-01_Index_3QRank","0.73"
"2022-03-25_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-03-25_to_2022-12-01_Index_3QRank","85.59"
"2022-03-25_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-03-25_to_2022-12-01_Index_3QRank","-75.885"
"2022-03-25_to_2022-12-01_Crypto10_Index","-79.9416"
