"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-13_to_2022-12-01_Index_3QRank","-79.564","-53.428"
"2021-08-13_to_2022-12-01_Crypto10_Index","-85.498","-76.624"
"Volatility",,
"2021-08-13_to_2022-12-01_Index_3QRank","80.88","76.95"
"2021-08-13_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-13_to_2022-12-01_Index_3QRank","42.55","39.67"
"2021-08-13_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-13_to_2022-12-01_Index_3QRank","0.14","0.58"
"2021-08-13_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-13_to_2022-12-01_Index_3QRank","0.04","2.82"
"2021-08-13_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-13_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-08-13_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-13_to_2022-12-01_Index_3QRank","72.76","73.92"
"2021-08-13_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-13_to_2022-12-01_Index_3QRank","-82.5756","-83.6916"
"2021-08-13_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
