"","2022-01-2022-12"
"Annualized Returns",
"2022-01-31_to_2022-12-01_Index_3QRank","-65.565"
"2022-01-31_to_2022-12-01_Crypto10_Index","-83.338"
"Volatility",
"2022-01-31_to_2022-12-01_Index_3QRank","75.48"
"2022-01-31_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-31_to_2022-12-01_Index_3QRank","45"
"2022-01-31_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-31_to_2022-12-01_Index_3QRank","0.39"
"2022-01-31_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-31_to_2022-12-01_Index_3QRank","1.72"
"2022-01-31_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-31_to_2022-12-01_Index_3QRank","0.73"
"2022-01-31_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-31_to_2022-12-01_Index_3QRank","71.2"
"2022-01-31_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-31_to_2022-12-01_Index_3QRank","-72.8772"
"2022-01-31_to_2022-12-01_Crypto10_Index","-81.2244"
