"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-27_to_2022-12-01_Index_3QRank","-77.371","-62.296"
"2021-08-27_to_2022-12-01_Crypto10_Index","-85.498","-79.144"
"Volatility",,
"2021-08-27_to_2022-12-01_Index_3QRank","78.82","74.64"
"2021-08-27_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-27_to_2022-12-01_Index_3QRank","40.89","36.65"
"2021-08-27_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-27_to_2022-12-01_Index_3QRank","0.2","0.46"
"2021-08-27_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-27_to_2022-12-01_Index_3QRank","0.39","2.39"
"2021-08-27_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-27_to_2022-12-01_Index_3QRank","0.82","0.84"
"2021-08-27_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-27_to_2022-12-01_Index_3QRank","74.39","77.08"
"2021-08-27_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-27_to_2022-12-01_Index_3QRank","-81.1519","-82.9258"
"2021-08-27_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
