"","2022-02-2022-12"
"Annualized Returns",
"2022-02-18_to_2022-12-01_Index_3QRank","-72.831"
"2022-02-18_to_2022-12-01_Crypto10_Index","-85.951"
"Volatility",
"2022-02-18_to_2022-12-01_Index_3QRank","75.5"
"2022-02-18_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-18_to_2022-12-01_Index_3QRank","42.49"
"2022-02-18_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-18_to_2022-12-01_Index_3QRank","0.31"
"2022-02-18_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-18_to_2022-12-01_Index_3QRank","-0.2"
"2022-02-18_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-18_to_2022-12-01_Index_3QRank","0.72"
"2022-02-18_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-18_to_2022-12-01_Index_3QRank","77.06"
"2022-02-18_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-18_to_2022-12-01_Index_3QRank","-74.4847"
"2022-02-18_to_2022-12-01_Crypto10_Index","-79.9416"
