"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-26_to_2022-12-01_Index_3QRank","-77.579","-59.266"
"2021-08-26_to_2022-12-01_Crypto10_Index","-85.498","-77.839"
"Volatility",,
"2021-08-26_to_2022-12-01_Index_3QRank","79.11","74.89"
"2021-08-26_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-26_to_2022-12-01_Index_3QRank","41.04","36.9"
"2021-08-26_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-26_to_2022-12-01_Index_3QRank","0.19","0.5"
"2021-08-26_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-26_to_2022-12-01_Index_3QRank","0.37","2.44"
"2021-08-26_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-26_to_2022-12-01_Index_3QRank","0.82","0.84"
"2021-08-26_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-26_to_2022-12-01_Index_3QRank","74.25","76.83"
"2021-08-26_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-26_to_2022-12-01_Index_3QRank","-81.3174","-83"
"2021-08-26_to_2022-12-01_Crypto10_Index","-85.9481","-88.7377"
