"","2021-09-08_to_2022-12-01_Index_3QRank","2021-09-08_to_2022-12-01_Crypto10_Index"
"2021-09-08",0,0
"2021-09-09",0,0
"2021-09-10",-3.98025989376203,-6.90589269905987
"2021-09-11",-0.75288801456519,-6.90589269905987
"2021-09-12",0,-6.90589269905987
"2021-09-13",-5.69272593290161,-12.3222749276826
"2021-09-14",-2.63690127774824,-8.59851336313308
"2021-09-15",0,-3.52065137091344
"2021-09-16",-1.2846442561626,-2.13270086780878
"2021-09-17",-4.09417634602893,-4.77319183125108
"2021-09-18",-2.03445475641281,-4.77319183125108
"2021-09-19",-5.76987023957602,-4.77319183125108
"2021-09-20",-18.0231580765321,-20.4468580116456
"2021-09-21",-22.4812878291177,-28.0636412589461
"2021-09-22",-11.2698485945296,-23.6120494968953
"2021-09-23",-9.1687182920514,-20.4468580116456
"2021-09-24",-15.2561240915292,-25.5247102628363
"2021-09-25",-15.1842956196195,-25.5247102628363
"2021-09-26",-15.6561704258373,-25.5247102628363
"2021-09-27",-18.4779547484442,-25.0846300591008
"2021-09-28",-21.8972291349676,-29.9424519494526
"2021-09-29",-19.3861888294063,-34.7833439315728
"2021-09-30",-16.2299170698934,-28.9268814992145
"2021-10-01",-8.51474086749926,-27.6235610552106
"2021-10-02",-6.69453943826347,-27.6235610552106
"2021-10-03",-5.07380986101349,-27.6235610552106
"2021-10-04",-7.87041095034432,-28.9099515909828
"2021-10-05",-5.68248746434534,-21.3439385863195
"2021-10-06",-6.97344330711531,-15.1997261601955
"2021-10-07",-6.32662894243207,-15.3520661111942
"2021-10-08",-6.36314334291991,-11.8991246321787
"2021-10-09",-4.99302547099667,-11.8991246321787
"2021-10-10",-9.59095238495747,-11.8991246321787
"2021-10-11",-9.60364047188915,-10.3926939945388
"2021-10-12",-10.9957667310219,-17.4001369199022
"2021-10-13",-9.0296539900429,-14.9458359828932
"2021-10-14",-7.58879498551253,-9.78334393157277
"2021-10-15",-1.82985547114427,-7.07515281726141
"2021-10-16",-3.03608943349828,-7.07515281726141
"2021-10-17",-4.42184640521528,-7.07515281726141
"2021-10-18",-5.10851056566597,-11.9837546912795
"2021-10-19",-4.35827280277241,-15.3689960194259
"2021-10-20",0,-13.3378453779207
"2021-10-21",0,-8.09072326749957
"2021-10-22",0,-9.4448236951697
"2021-10-23",0,-9.4448236951697
"2021-10-24",-2.62672750106634,-9.4448236951697
"2021-10-25",0,-11.3067044774445
"2021-10-26",-0.31989333955329,-12.9993251415177
"2021-10-27",-8.06229458584634,-17.7386571563053
"2021-10-28",-0.851297137654694,-14.9458359828932
"2021-10-29",0,-13.6763753553527
"2021-10-30",-3.66416493514743,-13.6763753553527
"2021-10-31",-2.18526945680958,-13.6763753553527
"2021-11-01",-0.835074039920369,-15.8767763740306
"2021-11-02",0,-16.1645263677963
"2021-11-03",0,-15.3689960194259
"2021-11-04",-2.04665188392662,-14.9119859074587
"2021-11-05",-2.47493410732501,-15.5382561376275
"2021-11-06",-1.51198316354947,-15.5382561376275
"2021-11-07",-0.300701841907824,-15.5382561376275
"2021-11-08",0,-12.8131351150844
"2021-11-09",0,-13.591745296252
"2021-11-10",-2.14108527533012,-17.0616166834992
"2021-11-11",-0.821386045280836,-15.3689960194259
"2021-11-12",-3.17685263670976,-15.3689960194259
"2021-11-13",-0.751717030235466,-15.3689960194259
"2021-11-14",0,-15.3689960194259
"2021-11-15",-3.29500690717408,-15.8090762231615
"2021-11-16",-10.8840862104405,-17.4001369199022
"2021-11-17",-9.71508138392283,-21.6147586718536
"2021-11-18",-17.0195695342567,-23.0196390831899
"2021-11-19",-11.0860908808584,-19.8544378569113
"2021-11-20",-8.24416931757513,-19.8544378569113
"2021-11-21",-8.4028662749769,-19.8544378569113
"2021-11-22",-12.2740124973356,-28.4868012954789
"2021-11-23",-10.2022778585863,-26.8788106905065
"2021-11-24",-12.9412937194942,-19.600547679609
"2021-11-25",-11.786994020934,-19.600547679609
"2021-11-26",-19.9023125569213,-18.8050075902097
"2021-11-27",-18.6199714112326,-18.8050075902097
"2021-11-28",-16.7825377226302,-18.8050075902097
"2021-11-29",-13.4943620299011,-15.910636190494
"2021-11-30",-13.1919652136621,-15.5382561376275
"2021-12-01",-10.1124944791445,-17.2477969689035
"2021-12-02",-10.4937285354554,-17.5355469626693
"2021-12-03",-14.0919763151932,-22.3087387939203
"2021-12-04",-23.0925457654635,-22.3087387939203
"2021-12-05",-24.7051288391528,-22.3087387939203
"2021-12-06",-21.1485796770922,-23.0027091749582
"2021-12-07",-20.5804874857477,-23.8320895987631
"2021-12-08",-18.230608558738,-19.7020979059126
"2021-12-09",-26.0145733036772,-19.3635776695095
"2021-12-10",-29.0346234905618,-22.9857792667265
"2021-12-11",-25.4198631624054,-22.9857792667265
"2021-12-12",-25.0772839280126,-22.9857792667265
"2021-12-13",-33.173371875939,-28.89303142378
"2021-12-14",-32.741962645407,-27.048070808708
"2021-12-15",-24.930673281841,-26.1848403094686
"2021-12-16",-27.0609375546603,-29.8747517985836
"2021-12-17",-26.7194581788948,-28.8761015155482
"2021-12-18",-23.738095234691,-28.8761015155482
"2021-12-19",-24.7439090352038,-28.8761015155482
"2021-12-20",-25.5493360942513,-31.8381828071619
"2021-12-21",-21.3582572217077,-30.5856520878532
"2021-12-22",-20.5861624301801,-30.6872023141568
"2021-12-23",-15.1673655736969,-29.5700718965861
"2021-12-24",-18.0865551327077,-29.5700718965861
"2021-12-25",-16.2852618292887,-29.5700718965861
"2021-12-26",-13.7662872000241,-29.5700718965861
"2021-12-27",-14.8833242764391,-26.9634407496072
"2021-12-28",-21.7343515049156,-31.5335126461934
"2021-12-29",-23.4754939616942,-34.8679739906735
"2021-12-30",-21.890507514232,-34.7833439315728
"2021-12-31",-22.4294651296209,-35.4265440699733
"2022-01-01",-19.6172157772983,-35.4265440699733
"2022-01-02",-19.3586265109279,-35.4265440699733
"2022-01-03",-20.4787046905761,-35.3249841026408
"2022-01-04",-21.9475799298237,-33.4800332285978
"2022-01-05",-25.2157916251601,-34.834123915239
"2022-01-06",-25.2212521335147,-37.8639150987507
"2022-01-07",-29.1371877574229,-39.2349356936236
"2022-01-08",-30.1870624359868,-39.2349356936236
"2022-01-09",-27.5995027860877,-39.2349356936236
"2022-01-10",-29.1611653686497,-39.6750158973592
"2022-01-11",-26.020957167137,-35.3757640863071
"2022-01-12",-22.8530646411559,-33.4800332285978
"2022-01-13",-26.9364859973655,-37.2884248522481
"2022-01-14",-24.6645141382607,-36.5267445793122
"2022-01-15",-24.167020690892,-36.5267445793122
"2022-01-16",-23.8493228862981,-36.5267445793122
"2022-01-17",-25.6592482950992,-36.5267445793122
"2022-01-18",-28.2669168755684,-37.6946549805491
"2022-01-19",-31.47893940918,-38.591745296252
"2022-01-20",-34.9435493719251,-40.8937062822623
"2022-01-21",-43.4308134638192,-47.5287788957881
"2022-01-22",-48.3088215812389,-47.5287788957881
"2022-01-23",-45.681883225339,-47.5287788957881
"2022-01-24",-48.3065862108809,-55.4840921205207
"2022-01-25",-47.5407667588479,-53.0297911835116
"2022-01-26",-47.6579690793073,-51.4048804113364
"2022-01-27",-48.1336076710407,-51.0494302667016
"2022-01-28",-46.1777804342424,-47.0379187083863
"2022-01-29",-45.0821142263053,-47.0379187083863
"2022-01-30",-45.7354831578454,-47.0379187083863
"2022-01-31",-44.9955321200366,-46.6147586718536
"2022-02-01",-43.4639225740881,-45.9207882908157
"2022-02-02",-47.0138191018373,-47.5287788957881
"2022-02-03",-46.4592343461481,-48.9844295497618
"2022-02-04",-41.3081027177385,-44.4482077286103
"2022-02-05",-40.6852246352506,-44.4482077286103
"2022-02-06",-39.4561685445483,-44.4482077286103
"2022-02-07",-34.9935530472935,-39.9796860583277
"2022-02-08",-36.1466037574418,-40.4028460948605
"2022-02-09",-34.2224553205363,-38.0670252923867
"2022-02-10",-37.2202468209285,-38.388625361587
"2022-02-11",-42.1603203368327,-44.9729179914466
"2022-02-12",-42.4861132153299,-44.9729179914466
"2022-02-13",-43.3527936768068,-44.9729179914466
"2022-02-14",-42.8879244744593,-43.8050075902097
"2022-02-15",-37.8588827729665,-40.9783363413631
"2022-02-16",-38.5724437848645,-40.63981610496
"2022-02-17",-43.8923952373332,-43.4664873538066
"2022-02-18",-45.405703021983,-44.1435375676417
"2022-02-19",-44.7389193040057,-44.1435375676417
"2022-02-20",-47.8406780676118,-44.1435375676417
"2022-02-21",-51.5799728992248,-44.1435375676417
"2022-02-22",-49.6184253541971,-48.5443493460263
"2022-02-23",-50.6774685422306,-48.1719692931598
"2022-02-24",-50.4148511091323,-49.3060296189621
"2022-02-25",-47.477330103651,-48.0534891586245
"2022-02-26",-47.641412106525,-48.0534891586245
"2022-02-27",-50.4657002575998,-48.0534891586245
"2022-02-28",-44.7015016750976,-46.310088510885
"2022-03-01",-44.351965886191,-45.2945180606469
"2022-03-02",-44.8735955377012,-45.7176683561507
"2022-03-03",-46.4785855690568,-47.2748789774569
"2022-03-04",-50.3056820351253,-50.3723800528665
"2022-03-05",-49.2115508937425,-50.3723800528665
"2022-03-06",-51.4864437187748,-50.3723800528665
