"","2021-06-29_to_2022-12-01_Index_3QRank","2021-06-29_to_2022-12-01_Crypto10_Index"
"2021-06-29",0,0
"2021-06-30",0,-0.251570000000001
"2021-07-01",-5.69803452006993,-3.77358
"2021-07-02",-4.56747014144812,-5.13208000000001
"2021-07-03",-2.92517661052447,-5.13208000000001
"2021-07-04",0,-5.13208000000001
"2021-07-05",-3.9808672728594,-5.13208000000001
"2021-07-06",-0.0972647668545323,-0.754720000000009
"2021-07-07",-0.0357361682154833,0
"2021-07-08",-6.14306538263025,-4.94117748290656
"2021-07-09",-4.6224515608855,-5.88235459169548
"2021-07-10",-6.5889293234604,-5.88235459169548
"2021-07-11",-5.72737864269185,-5.88235459169548
"2021-07-12",-9.05885777950335,-10.5882401356401
"2021-07-13",-12.4321095444258,-11.764709183391
"2021-07-14",-11.6450131506453,-9.88235496581313
"2021-07-15",-16.1779684789993,-17.6470637750865
"2021-07-16",-19.7638252691697,-18.5882315309343
"2021-07-17",-19.7325950844194,-18.5882315309343
"2021-07-18",-19.4329390534709,-18.5882315309343
"2021-07-19",-24.4084175905168,-24.7058874145328
"2021-07-20",-27.948556159921,-28.8941157280554
"2021-07-21",-19.2701879944754,-20.0000018705882
"2021-07-22",-17.0090436937439,-10.5882401356401
"2021-07-23",-14.2446327753423,-6.56470776174392
"2021-07-24",-13.1788629375047,-6.56470776174392
"2021-07-25",-13.18645819467,-6.56470776174392
"2021-07-26",-9.28928463409575,0
"2021-07-27",-6.18247251102049,-6.92641139596315
"2021-07-28",-6.42091633316185,-2.59740427348619
"2021-07-29",-3.30072307592588,-11.2554185184401
"2021-07-30",0,-9.82684487743837
"2021-07-31",0,-9.82684487743837
"2021-08-01",-3.23818302344442,-9.82684487743837
"2021-08-02",-1.76070387630419,-11.1471901139173
"2021-08-03",-1.69193445374046,-15.5844170370214
"2021-08-04",0,-13.7229469857198
"2021-08-05",0,-13.095241168058
"2021-08-06",0,-12.2294397435626
"2021-08-07",0,-12.2294397435626
"2021-08-08",-5.03376275256937,-12.2294397435626
"2021-08-09",-0.0274817582021081,-1.73160284899079
"2021-08-10",0,0
"2021-08-11",0,0
"2021-08-12",-2.37950661569182,-1.03092648315444
"2021-08-13",0,-3.09278764533952
"2021-08-14",0,-3.09278764533952
"2021-08-15",0,-3.09278764533952
"2021-08-16",0,-5.15464061164841
"2021-08-17",-3.20080637994892,-9.89690571250932
"2021-08-18",0,-8.24742006111173
"2021-08-19",0,-4.63917737007119
"2021-08-20",0,0
"2021-08-21",0,0
"2021-08-22",0,0
"2021-08-23",0,0
"2021-08-24",-4.96136749657072,0
"2021-08-25",-5.05000768447003,0
"2021-08-26",-10.1920712916084,-4.49999427599984
"2021-08-27",0,0
"2021-08-28",0,0
"2021-08-29",0,0
"2021-08-30",0,-1.63614534006342
"2021-08-31",0,-3.58394957835499
"2021-09-01",0,0
"2021-09-02",0,0
"2021-09-03",0,0
"2021-09-04",0,0
"2021-09-05",0,0
"2021-09-06",0,0
"2021-09-07",-9.62564576848584,-3.85245920868047
"2021-09-08",-5.94574198551917,-5.65574076014512
"2021-09-09",-4.37701519083253,-3.14754183394249
"2021-09-10",-7.77070938006439,-9.83606578742274
"2021-09-11",-5.05702972563703,-9.83606578742274
"2021-09-12",-3.33374409156754,-9.83606578742274
"2021-09-13",-8.85724878490952,-15.0819644997313
"2021-09-14",-8.50377362096851,-11.4754079131954
"2021-09-15",-5.91224044038045,-6.55737501948402
"2021-09-16",-6.79215680795585,-5.21311473700619
"2021-09-17",-9.30546525137333,-7.77049288435904
"2021-09-18",-4.83781985127337,-7.77049288435904
"2021-09-19",-9.58388825006848,-7.77049288435904
"2021-09-20",-21.7921364939574,-22.9508223427842
"2021-09-21",-25.7813939558352,-30.3278684251545
"2021-09-22",-13.5826590837156,-26.0163944638807
"2021-09-23",-11.6138623920844,-22.9508223427842
"2021-09-24",-17.4156018098153,-27.8688552364956
"2021-09-25",-18.040270279175,-27.8688552364956
"2021-09-26",-18.7663882056823,-27.8688552364956
"2021-09-27",-20.5585838029385,-27.4426244592045
"2021-09-28",-24.0532300540359,-32.1475387060737
"2021-09-29",-21.6070335866251,-36.8360642234883
"2021-09-30",-18.811391937863,-31.1639347338887
"2021-10-01",-10.8613548691109,-29.9016376478635
"2021-10-02",-8.57747355808578,-29.9016376478635
"2021-10-03",-6.7690139446567,-29.9016376478635
"2021-10-04",-9.87454195516951,-31.1475394880409
"2021-10-05",-8.57886788136936,-23.8196726268208
"2021-10-06",-11.1966895539206,-17.8688500233808
"2021-10-07",-10.6126827791539,-18.016394203225
"2021-10-08",-10.2620353449323,-14.6721289682881
"2021-10-09",-9.57344988895259,-14.6721289682881
"2021-10-10",-14.3715002276913,-14.6721289682881
"2021-10-11",-15.0117570603055,-13.2131149976619
"2021-10-12",-14.7806215190603,-19.9999973934426
"2021-10-13",-14.0687626714953,-17.6229539176297
"2021-10-14",-12.959635590922,-12.6229513110723
"2021-10-15",-7.85324498512735,-9.99999869672131
"2021-10-16",-8.98165682803277,-9.99999869672131
"2021-10-17",-9.77521182033009,-9.99999869672131
"2021-10-18",-10.8338009941247,-14.7540986811341
"2021-10-19",-10.4901216198293,-18.0327894490728
"2021-10-20",-3.98680526418977,-16.0655749883096
"2021-10-21",-1.87359437122643,-10.9836091852996
"2021-10-22",0,-12.2950854924751
"2021-10-23",0,-12.2950854924751
"2021-10-24",0,-12.2950854924751
"2021-10-25",0,-14.0983605275464
"2021-10-26",-1.92755962955805,-15.737702653319
"2021-10-27",-10.1016979168792,-20.3278697284332
"2021-10-28",-3.96504027546145,-17.6229539176297
"2021-10-29",-2.60543865625148,-16.3934408069068
"2021-10-30",-5.63585018641923,-16.3934408069068
"2021-10-31",-3.56780865018674,-16.3934408069068
"2021-11-01",-2.83101710312776,-18.5245881769686
"2021-11-02",0,-18.8032812908089
"2021-11-03",0,-18.0327894490728
"2021-11-04",-0.528223249747961,-17.5901634259339
"2021-11-05",-2.26553898197615,-18.1967223583714
"2021-11-06",0,-18.1967223583714
"2021-11-07",0,-18.1967223583714
"2021-11-08",0,-15.5573744981725
"2021-11-09",-0.715074723740639,-16.3114776104542
"2021-11-10",-3.59931796948316,-19.6721315748455
"2021-11-11",-2.40811621496578,-18.0327894490728
"2021-11-12",-4.37919442497205,-18.0327894490728
"2021-11-13",-0.72072435303594,-18.0327894490728
"2021-11-14",-1.49950627412161,-18.0327894490728
"2021-11-15",-3.45907708405175,-18.4590137099704
"2021-11-16",-9.75967920222386,-19.9999973934426
"2021-11-17",-8.40978777194905,-24.0819704948132
"2021-11-18",-15.7041963635385,-25.4426260231389
"2021-11-19",-8.96896270694647,-22.377047385649
"2021-11-20",-6.07186938822286,-22.377047385649
"2021-11-21",-4.34492212817483,-22.377047385649
"2021-11-22",-8.0313439506151,-30.7377039565977
"2021-11-23",-6.99471981188547,-29.1803250272776
"2021-11-24",-9.75790621826679,-22.1311447635045
"2021-11-25",-9.59425028530468,-22.1311447635045
"2021-11-26",-17.9030772513149,-21.3606529217684
"2021-11-27",-16.011071576364,-21.3606529217684
"2021-11-28",-14.1899969811759,-21.3606529217684
"2021-11-29",-11.1452722868681,-18.5573786686643
"2021-11-30",-10.5730359721416,-18.1967223583714
"2021-12-01",-6.27675858400092,-19.8524597299919
"2021-12-02",-6.7850135358685,-20.1311463274389
"2021-12-03",-11.7770596692407,-24.7540973778554
"2021-12-04",-19.559821321762,-24.7540973778554
"2021-12-05",-21.6723806044167,-24.7540973778554
"2021-12-06",-19.0791051098387,-25.426230777291
"2021-12-07",-19.5335286872046,-26.2295065943295
"2021-12-08",-17.321022904678,-22.2295097221983
"2021-12-09",-24.3593186677655,-21.9016373872078
"2021-12-10",-28.3812247478087,-25.4098355314432
