"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-12_to_2022-12-01_Index_3QRank","-79.451","-49.541"
"2021-08-12_to_2022-12-01_Crypto10_Index","-85.498","-76.928"
"Volatility",,
"2021-08-12_to_2022-12-01_Index_3QRank","80.87","76.83"
"2021-08-12_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-12_to_2022-12-01_Index_3QRank","42.47","39.5"
"2021-08-12_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-12_to_2022-12-01_Index_3QRank","0.14","0.69"
"2021-08-12_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-12_to_2022-12-01_Index_3QRank","0.07","2.8"
"2021-08-12_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-12_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-08-12_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-12_to_2022-12-01_Index_3QRank","72.86","74.09"
"2021-08-12_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-12_to_2022-12-01_Index_3QRank","-82.5231","-83.6605"
"2021-08-12_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
