"","2022-12-2021-12","2021-11-2022-12"
"Annualized Returns",,
"2021-11-14_to_2022-12-01_Index_3QRank","-75.217","-75.669"
"2021-11-14_to_2022-12-01_Crypto10_Index","-85.498","-84.532"
"Volatility",,
"2021-11-14_to_2022-12-01_Index_3QRank","82.21","78.43"
"2021-11-14_to_2022-12-01_Crypto10_Index","84.65","81.66"
"Tracking Error",,
"2021-11-14_to_2022-12-01_Index_3QRank","36.79","36.41"
"2021-11-14_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-11-14_to_2022-12-01_Index_3QRank","0.28","0.24"
"2021-11-14_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-11-14_to_2022-12-01_Index_3QRank","1.77","2.27"
"2021-11-14_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-11-14_to_2022-12-01_Index_3QRank","0.88","0.86"
"2021-11-14_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-11-14_to_2022-12-01_Index_3QRank","79.52","78.57"
"2021-11-14_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-11-14_to_2022-12-01_Index_3QRank","-80.1811","-81.7824"
"2021-11-14_to_2022-12-01_Crypto10_Index","-85.948","-86.26"
