"","2021-12-2022-12"
"Annualized Returns",
"2021-12-10_to_2022-12-01_Index_3QRank","-67.789"
"2021-12-10_to_2022-12-01_Crypto10_Index","-85.133"
"Volatility",
"2021-12-10_to_2022-12-01_Index_3QRank","72.05"
"2021-12-10_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-10_to_2022-12-01_Index_3QRank","48.94"
"2021-12-10_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-10_to_2022-12-01_Index_3QRank","0.35"
"2021-12-10_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-10_to_2022-12-01_Index_3QRank","-0.26"
"2021-12-10_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-10_to_2022-12-01_Index_3QRank","0.7"
"2021-12-10_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-10_to_2022-12-01_Index_3QRank","62.99"
"2021-12-10_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-10_to_2022-12-01_Index_3QRank","-78.4957"
"2021-12-10_to_2022-12-01_Crypto10_Index","-84.9011"
