"","2022-02-2022-12"
"Annualized Returns",
"2022-02-02_to_2022-12-01_Index_3QRank","-68.303"
"2022-02-02_to_2022-12-01_Crypto10_Index","-83.188"
"Volatility",
"2022-02-02_to_2022-12-01_Index_3QRank","82.27"
"2022-02-02_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-02_to_2022-12-01_Index_3QRank","41.12"
"2022-02-02_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-02_to_2022-12-01_Index_3QRank","0.36"
"2022-02-02_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-02_to_2022-12-01_Index_3QRank","1.37"
"2022-02-02_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-02_to_2022-12-01_Index_3QRank","0.79"
"2022-02-02_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-02_to_2022-12-01_Index_3QRank","77.79"
"2022-02-02_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-02_to_2022-12-01_Index_3QRank","-73.4823"
"2022-02-02_to_2022-12-01_Crypto10_Index","-81.2244"
