"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-01_to_2022-12-01_Index_3QRank","-76.054","-62.906"
"2021-10-01_to_2022-12-01_Crypto10_Index","-85.498","-78.554"
"Volatility",,
"2021-10-01_to_2022-12-01_Index_3QRank","81.28","75.93"
"2021-10-01_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-01_to_2022-12-01_Index_3QRank","46.65","44.06"
"2021-10-01_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-01_to_2022-12-01_Index_3QRank","0.2","0.36"
"2021-10-01_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-01_to_2022-12-01_Index_3QRank","0.79","2.05"
"2021-10-01_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-01_to_2022-12-01_Index_3QRank","0.81","0.81"
"2021-10-01_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-01_to_2022-12-01_Index_3QRank","67.79","67.59"
"2021-10-01_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-01_to_2022-12-01_Index_3QRank","-81.455","-82.5416"
"2021-10-01_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
