"","2022-12-2021-12","2021-07-2022-12"
"Annualized Returns",,
"2021-07-23_to_2022-12-01_Index_3QRank","-78.33","-30.108"
"2021-07-23_to_2022-12-01_Crypto10_Index","-85.498","-71.857"
"Volatility",,
"2021-07-23_to_2022-12-01_Index_3QRank","84.42","95.93"
"2021-07-23_to_2022-12-01_Crypto10_Index","84.65","79.95"
"Tracking Error",,
"2021-07-23_to_2022-12-01_Index_3QRank","42.1","50.25"
"2021-07-23_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-07-23_to_2022-12-01_Index_3QRank","0.17","0.83"
"2021-07-23_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-07-23_to_2022-12-01_Index_3QRank","1.16","7.23"
"2021-07-23_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-07-23_to_2022-12-01_Index_3QRank","0.87","1.02"
"2021-07-23_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-07-23_to_2022-12-01_Index_3QRank","74.15","70.64"
"2021-07-23_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-07-23_to_2022-12-01_Index_3QRank","-82.5268","-83.675"
"2021-07-23_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
