"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-08_to_2022-12-01_Index_3QRank","-73.262","-61.1"
"2021-09-08_to_2022-12-01_Crypto10_Index","-85.498","-81.772"
"Volatility",,
"2021-09-08_to_2022-12-01_Index_3QRank","74.57","73.3"
"2021-09-08_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-08_to_2022-12-01_Index_3QRank","45.87","41.22"
"2021-09-08_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-08_to_2022-12-01_Index_3QRank","0.27","0.5"
"2021-09-08_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-08_to_2022-12-01_Index_3QRank","0.5","2.18"
"2021-09-08_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-08_to_2022-12-01_Index_3QRank","0.74","0.78"
"2021-09-08_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-08_to_2022-12-01_Index_3QRank","67.54","72.46"
"2021-09-08_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-08_to_2022-12-01_Index_3QRank","-79.9425","-81.9708"
"2021-09-08_to_2022-12-01_Crypto10_Index","-85.948","-88.3717"
