"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-17_to_2022-12-01_Index_3QRank","-76.196","-63.484"
"2021-09-17_to_2022-12-01_Crypto10_Index","-85.498","-82.062"
"Volatility",,
"2021-09-17_to_2022-12-01_Index_3QRank","81.36","79.85"
"2021-09-17_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-17_to_2022-12-01_Index_3QRank","45.3","41.18"
"2021-09-17_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-17_to_2022-12-01_Index_3QRank","0.21","0.45"
"2021-09-17_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-17_to_2022-12-01_Index_3QRank","0.94","3.06"
"2021-09-17_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-17_to_2022-12-01_Index_3QRank","0.82","0.85"
"2021-09-17_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-17_to_2022-12-01_Index_3QRank","69.51","73.66"
"2021-09-17_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-17_to_2022-12-01_Index_3QRank","-81.5615","-82.609"
"2021-09-17_to_2022-12-01_Crypto10_Index","-85.9481","-87.7888"
