"","2021-12-2022-12"
"Annualized Returns",
"2021-12-22_to_2022-12-01_Index_3QRank","-71.776"
"2021-12-22_to_2022-12-01_Crypto10_Index","-84.444"
"Volatility",
"2021-12-22_to_2022-12-01_Index_3QRank","70.47"
"2021-12-22_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-22_to_2022-12-01_Index_3QRank","49.75"
"2021-12-22_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-22_to_2022-12-01_Index_3QRank","0.25"
"2021-12-22_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-22_to_2022-12-01_Index_3QRank","-0.39"
"2021-12-22_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-22_to_2022-12-01_Index_3QRank","0.67"
"2021-12-22_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-22_to_2022-12-01_Index_3QRank","61.67"
"2021-12-22_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-22_to_2022-12-01_Index_3QRank","-77.9325"
"2021-12-22_to_2022-12-01_Crypto10_Index","-84.0788"
