"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-17_to_2022-12-01_Index_3QRank","-74.422","-67.415"
"2021-10-17_to_2022-12-01_Crypto10_Index","-85.498","-83.833"
"Volatility",,
"2021-10-17_to_2022-12-01_Index_3QRank","78.64","71.99"
"2021-10-17_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-17_to_2022-12-01_Index_3QRank","47.2","44.4"
"2021-10-17_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-17_to_2022-12-01_Index_3QRank","0.23","0.37"
"2021-10-17_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-17_to_2022-12-01_Index_3QRank","0.73","0.93"
"2021-10-17_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-17_to_2022-12-01_Index_3QRank","0.78","0.76"
"2021-10-17_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-17_to_2022-12-01_Index_3QRank","66.43","66.11"
"2021-10-17_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-17_to_2022-12-01_Index_3QRank","-80.2554","-82.4245"
"2021-10-17_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
