"","2022-12-2021-12","2021-09-2022-12"
"Annualized Returns",,
"2021-09-25_to_2022-12-01_Index_3QRank","-75.602","-59.066"
"2021-09-25_to_2022-12-01_Crypto10_Index","-85.498","-78.613"
"Volatility",,
"2021-09-25_to_2022-12-01_Index_3QRank","81.61","80.15"
"2021-09-25_to_2022-12-01_Crypto10_Index","84.65","81.56"
"Tracking Error",,
"2021-09-25_to_2022-12-01_Index_3QRank","45.09","40.96"
"2021-09-25_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-09-25_to_2022-12-01_Index_3QRank","0.22","0.48"
"2021-09-25_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-09-25_to_2022-12-01_Index_3QRank","1.15","3.26"
"2021-09-25_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-09-25_to_2022-12-01_Index_3QRank","0.82","0.86"
"2021-09-25_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-09-25_to_2022-12-01_Index_3QRank","69.84","74"
"2021-09-25_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-09-25_to_2022-12-01_Index_3QRank","-81.4192","-82.5432"
"2021-09-25_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
