"","2022-02-2022-12"
"Annualized Returns",
"2022-02-11_to_2022-12-01_Index_3QRank","-72.541"
"2022-02-11_to_2022-12-01_Crypto10_Index","-84.999"
"Volatility",
"2022-02-11_to_2022-12-01_Index_3QRank","81.76"
"2022-02-11_to_2022-12-01_Crypto10_Index","93.22"
"Tracking Error",
"2022-02-11_to_2022-12-01_Index_3QRank","41.15"
"2022-02-11_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-02-11_to_2022-12-01_Index_3QRank","0.3"
"2022-02-11_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-02-11_to_2022-12-01_Index_3QRank","1.26"
"2022-02-11_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-02-11_to_2022-12-01_Index_3QRank","0.79"
"2022-02-11_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-02-11_to_2022-12-01_Index_3QRank","77.78"
"2022-02-11_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-02-11_to_2022-12-01_Index_3QRank","-73.6021"
"2022-02-11_to_2022-12-01_Crypto10_Index","-80.4106"
