"","2021-12-2022-12"
"Annualized Returns",
"2021-12-21_to_2022-12-01_Index_3QRank","-71.277"
"2021-12-21_to_2022-12-01_Crypto10_Index","-84.384"
"Volatility",
"2021-12-21_to_2022-12-01_Index_3QRank","70.41"
"2021-12-21_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-21_to_2022-12-01_Index_3QRank","49.83"
"2021-12-21_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-21_to_2022-12-01_Index_3QRank","0.26"
"2021-12-21_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-21_to_2022-12-01_Index_3QRank","-0.35"
"2021-12-21_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-21_to_2022-12-01_Index_3QRank","0.67"
"2021-12-21_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-21_to_2022-12-01_Index_3QRank","61.56"
"2021-12-21_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-21_to_2022-12-01_Index_3QRank","-77.9058"
"2021-12-21_to_2022-12-01_Crypto10_Index","-84.0788"
