"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-06_to_2022-12-01_Index_3QRank","-76.494","-64.283"
"2021-10-06_to_2022-12-01_Crypto10_Index","-85.498","-81.645"
"Volatility",,
"2021-10-06_to_2022-12-01_Index_3QRank","82.29","77.13"
"2021-10-06_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-06_to_2022-12-01_Index_3QRank","46.4","44.24"
"2021-10-06_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-06_to_2022-12-01_Index_3QRank","0.19","0.39"
"2021-10-06_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-06_to_2022-12-01_Index_3QRank","0.79","2.24"
"2021-10-06_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-06_to_2022-12-01_Index_3QRank","0.82","0.82"
"2021-10-06_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-06_to_2022-12-01_Index_3QRank","68.39","67.73"
"2021-10-06_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-06_to_2022-12-01_Index_3QRank","-81.7971","-82.6551"
"2021-10-06_to_2022-12-01_Crypto10_Index","-85.9481","-87.4863"
