"";"Date";"DailyReturn";"TotalValue";"Index"
"81";"2022-04-28";"-0.452441378514";"77.257367406848";"2126223360"
"82";"2022-04-29";"-5.042253455330";"73.361855129280";"2126226240"
"83";"2022-04-30";"-7.395376086749";"67.936470038254";"2126229120"
"84";"2022-05-01";"3.589227776359";"70.374864691144";"2126232000"
"85";"2022-05-02";"-0.178424426942";"70.249298742108";"2126234880"
"86";"2022-05-03";"-1.098383374818";"69.477692123798";"2126237760"
"87";"2022-05-04";"8.702600831360";"75.524058336174";"2126240640"
"88";"2022-05-05";"-9.241104058242";"68.544801516320";"2126243520"
"89";"2022-05-06";"-1.409072118786";"67.578955829277";"2126246400"
"90";"2022-05-07";"-2.635178320606";"65.798129835971";"2126249280"
"91";"2022-05-08";"-3.743240661781";"63.335147485260";"2126252160"
"92";"2022-05-09";"-16.053476038915";"53.167654759502";"2126255040"
"93";"2022-05-10";"4.719563450003";"55.676935960756";"2126257920"
"94";"2022-05-11";"-20.382469282803";"44.328601590949";"2126260800"
"95";"2022-05-12";"-4.396876118048";"42.379527894132";"2126263680"
"96";"2022-05-13";"6.399357827425";"45.091545529651";"2126266560"
"97";"2022-05-14";"4.013182880987";"46.901151715619";"2126269440"
"98";"2022-05-15";"6.283040697048";"49.847970165296";"2126272320"
"99";"2022-05-16";"-7.741227969859";"45.989125156453";"2126275200"
"100";"2022-05-17";"5.237479393274";"48.397796109669";"2126278080"
"101";"2022-05-18";"-11.047932517087";"43.050840255715";"2126280960"
"102";"2022-05-19";"4.911203242745";"45.165154518383";"2126283840"
"103";"2022-05-20";"-3.838208098809";"43.431621899819";"2126286720"
"104";"2022-05-21";"1.557961150543";"44.108269696069";"2126289600"
"105";"2022-05-22";"4.081667933316";"45.908622796193";"2126292480"
"106";"2022-05-23";"-5.154478092186";"43.542272891739";"2126295360"
"107";"2022-05-24";"1.815444791859";"44.332758817209";"2126298240"
"108";"2022-05-25";"-3.028366228463";"42.990200521043";"2126301120"
"109";"2022-05-26";"-6.707593069584";"40.106592810293";"2126304000"
"110";"2022-05-27";"-4.479227279030";"38.310127364445";"2126306880"
"111";"2022-05-28";"4.208043252711";"39.922234094109";"2126309760"
"112";"2022-05-29";"2.801853777260";"41.040796718042";"2126312640"
"113";"2022-05-30";"8.281940830129";"44.439771218444";"2126315520"
"114";"2022-05-31";"0.638646660600";"44.723584333309";"2126318400"
"115";"2022-06-01";"-8.912249401982";"40.737706956019";"2126321280"
"116";"2022-06-02";"2.570263377158";"41.784773318603";"2126324160"
"117";"2022-06-03";"-4.305507850663";"39.985726622989";"2126327040"
"118";"2022-06-04";"3.406393410093";"41.347797779652";"2126329920"
"119";"2022-06-05";"-0.800440313096";"41.016833337646";"2126332800"
