"","2022-12-2021-12","2021-08-2022-12"
"Annualized Returns",,
"2021-08-11_to_2022-12-01_Index_3QRank","-79.507","-50.388"
"2021-08-11_to_2022-12-01_Crypto10_Index","-85.498","-77.039"
"Volatility",,
"2021-08-11_to_2022-12-01_Index_3QRank","80.82","76.75"
"2021-08-11_to_2022-12-01_Crypto10_Index","84.65","78.78"
"Tracking Error",,
"2021-08-11_to_2022-12-01_Index_3QRank","42.53","39.55"
"2021-08-11_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-08-11_to_2022-12-01_Index_3QRank","0.14","0.67"
"2021-08-11_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-08-11_to_2022-12-01_Index_3QRank","0.04","2.76"
"2021-08-11_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-08-11_to_2022-12-01_Index_3QRank","0.83","0.85"
"2021-08-11_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-08-11_to_2022-12-01_Index_3QRank","72.77","74.01"
"2021-08-11_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-08-11_to_2022-12-01_Index_3QRank","-82.5312","-83.6652"
"2021-08-11_to_2022-12-01_Crypto10_Index","-85.948","-88.7377"
