"","2022-01-2022-12"
"Annualized Returns",
"2022-01-08_to_2022-12-01_Index_3QRank","-70.577"
"2022-01-08_to_2022-12-01_Crypto10_Index","-83.644"
"Volatility",
"2022-01-08_to_2022-12-01_Index_3QRank","75.32"
"2022-01-08_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-08_to_2022-12-01_Index_3QRank","45.62"
"2022-01-08_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-08_to_2022-12-01_Index_3QRank","0.29"
"2022-01-08_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-08_to_2022-12-01_Index_3QRank","1.83"
"2022-01-08_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-08_to_2022-12-01_Index_3QRank","0.73"
"2022-01-08_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-08_to_2022-12-01_Index_3QRank","70.39"
"2022-01-08_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-08_to_2022-12-01_Index_3QRank","-75.1694"
"2022-01-08_to_2022-12-01_Crypto10_Index","-82.5191"
