"","2022-01-2022-12"
"Annualized Returns",
"2022-01-18_to_2022-12-01_Index_3QRank","-73.266"
"2022-01-18_to_2022-12-01_Crypto10_Index","-84.99"
"Volatility",
"2022-01-18_to_2022-12-01_Index_3QRank","75.61"
"2022-01-18_to_2022-12-01_Crypto10_Index","88.91"
"Tracking Error",
"2022-01-18_to_2022-12-01_Index_3QRank","44.95"
"2022-01-18_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2022-01-18_to_2022-12-01_Index_3QRank","0.26"
"2022-01-18_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2022-01-18_to_2022-12-01_Index_3QRank","1.81"
"2022-01-18_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2022-01-18_to_2022-12-01_Index_3QRank","0.73"
"2022-01-18_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2022-01-18_to_2022-12-01_Index_3QRank","71.27"
"2022-01-18_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2022-01-18_to_2022-12-01_Index_3QRank","-74.1288"
"2022-01-18_to_2022-12-01_Crypto10_Index","-81.3366"
