"","2021-12-2022-12"
"Annualized Returns",
"2021-12-05_to_2022-12-01_Index_3QRank","-68.731"
"2021-12-05_to_2022-12-01_Crypto10_Index","-84.87"
"Volatility",
"2021-12-05_to_2022-12-01_Index_3QRank","72.44"
"2021-12-05_to_2022-12-01_Crypto10_Index","84.65"
"Tracking Error",
"2021-12-05_to_2022-12-01_Index_3QRank","49.04"
"2021-12-05_to_2022-12-01_Crypto10_Index","-"
"Information Ratio",
"2021-12-05_to_2022-12-01_Index_3QRank","0.33"
"2021-12-05_to_2022-12-01_Crypto10_Index","-"
"Alpha Stat",
"2021-12-05_to_2022-12-01_Index_3QRank","-0.08"
"2021-12-05_to_2022-12-01_Crypto10_Index","-"
"Beta Stat",
"2021-12-05_to_2022-12-01_Index_3QRank","0.7"
"2021-12-05_to_2022-12-01_Crypto10_Index","-"
"R-Squared",
"2021-12-05_to_2022-12-01_Index_3QRank","62.89"
"2021-12-05_to_2022-12-01_Crypto10_Index","-"
"Max Drawdown",
"2021-12-05_to_2022-12-01_Index_3QRank","-78.5332"
"2021-12-05_to_2022-12-01_Crypto10_Index","-85.5793"
