"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-20_to_2022-12-01_Index_3QRank","-74.325","-69.157"
"2021-10-20_to_2022-12-01_Crypto10_Index","-85.498","-83.018"
"Volatility",,
"2021-10-20_to_2022-12-01_Index_3QRank","78.49","71.83"
"2021-10-20_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-20_to_2022-12-01_Index_3QRank","47.21","44.45"
"2021-10-20_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-20_to_2022-12-01_Index_3QRank","0.24","0.31"
"2021-10-20_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-20_to_2022-12-01_Index_3QRank","0.72","0.9"
"2021-10-20_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-20_to_2022-12-01_Index_3QRank","0.77","0.76"
"2021-10-20_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-20_to_2022-12-01_Index_3QRank","66.38","66"
"2021-10-20_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-20_to_2022-12-01_Index_3QRank","-80.191","-82.3975"
"2021-10-20_to_2022-12-01_Crypto10_Index","-85.948","-87.3481"
